Name,Age,Hometown,Occupation,Outcome
Hannah Ann Sluss,23,"Powell, Tennessee",Model,Winner
Madison Prewett,23,"Auburn, Alabama",Foster Parent Recruiter,Runner-up
Victoria Fuller,26,"Virginia Beach, Virginia",Medical Sales Rep,Week 9
Kelsey Weier,28,"Urbandale, Iowa",Professional Clothier,Week 8
Kelley Flanagan,27,"North Barrington, Illinois",Attorney,Week 7
Natasha Parker,31,"Manhattan, New York",Event Planner,Week 7
Mykenna Dorn,22,"Langley, British Columbia",Fashion Blogger,Week 6
Sydney Hightower,24,"Northport, Alabama",Retail Marketing Manager,Week 6
Tammy Ly,24,"Syracuse, New York",House Flipper,Week 6
Victoria Paul,27,"Alexandria, Louisiana",Nurse,Week 6
Lexi Buchanan,26,"Jacksonville, Florida",Marketing Coordinator,Week 5
Shiann Lewis,27,"Las Vegas, Nevada",Administrative Assistant,Week 5
Deandra Kanu,23,"Bar Harbor, Maine",Home Care Coordinator,Week 4
Kiarra Norman,23,"Kennesaw, Georgia",Nanny,Week 4
Savannah Mullins,27,"Houston, Texas",Realtor,Week 4
Alayah Benavidez,24,"Helotes, Texas",Orthodontist Assistant,Week 4
Alexa Caves,27,"Springfield, Illinois",Esthetician,Week 4
Jasmine Nguyen,25,"Houston, Texas",Client Relations Manager,Week 4
Sarah Coffin,24,"Knoxville, Tennessee",Medical Radiographer,Week 4
Courtney Perry,26,"Venice, Florida",Cosmetologist,Week 2
Lauren Jones,26,"Glendale, California",Marketing Executive,Week 2
Payton Moran,24,"Wellesley, Massachusetts",Business Development Rep,Week 2
Avonlea Elkins,27,"Fort Worth, Texas",Cattle Rancher,Week 1
Eunice Cho,23,"Chicago, Illinois",Flight Attendant,Week 1
Jade Gilliland,26,"Mesa, Arizona",Media Buyer,Week 1
Jenna Serrano,22,"New Lenox, Illinois",Nursing Student,Week 1
Katrina Badowski,28,"St. Charles, Illinois",Pro NBA Dancer,Week 1
Kylie Ramos,26,"Davis, California",Entertainment Sales Associate,Week 1
Maurissa Gunn,23,"Laurel, Montana",Patient Care Coordinator,Week 1
Megan Hops,26,"San Bruno, California",Flight Attendant,Week 1
