Name,Age,Hometown,Occupation,Outcome
Lauren Bushnell,25,"West Linn, Oregon",Flight Attendant,Winner
Joelle Fletcher,24,"Dallas, Texas",Real Estate Developer,Runner-up
Caila Quinn,24,"Hudson, Ohio",Software Sales Representative,Week 9
Amanda Stanton,25,"Laguna Beach, California",Esthetician,Week 8
Becca Tilley,26,"Shreveport, Louisiana",Chiropractic Assistant,Week 7
Emily Ferguson,23,"Las Vegas, Nevada",Waitress,Week 6
Lauren Himle,25,"Dexter, Michigan",Kindergarten Teacher,Week 6
Olivia Caridi,23,"Austin, Texas",Former News Anchor,Week 6
Leah Block,25,"Greenwood Village, Colorado",Event Planner,Week 6
Jennifer Saviano,25,"Davie, Florida",Small Business Owner,Week 5
Jubilee Sharpe,24,"Fort Lauderdale, Florida",War Veteran,Week 5
Amber James,30,"Kankakee, Illinois",Bartender,Week 4
Rachel Tchen,23,"Little Rock, Arkansas",Unemployed,Week 4
Haley Ferguson,23,"Las Vegas, Nevada",Waitress,Week 4
Jami Letain,23,"St. Albert, Alberta",Bartender,Week 3
Shushanna Mkrtychyan,27,"Salt Lake City, Utah",Property Manager,Week 3
Lace Morris,25,"Denver, Colorado",Real Estate Agent,Week 3
Amanda Kremer,28,"Portland, Oregon",Dentist,Week 2
Jacqueline Dion,23,"Newport Beach, California",Gerontologist,Week 2
Samantha Passmore,26,"New Smyrna Beach, Florida",Attorney,Week 2
Lauren Barr,23,"Stillwater, Oklahoma",Fashion Buyer,Week 2
Breanne Rice,30,"Seattle, Washington",Nutritional Therapist,Week 1
Isabel Goodkind,24,"Branford, Connecticut",Graphic Designer,Week 1
Jessica Moser,23,"Boca Raton, Florida",Accountant,Week 1
Laura Esselman,24,"Louisville, Kentucky",Account Executive,Week 1
Lauren Russell,26,"Houston, Texas",Math Teacher,Week 1
Maegan Miller,30,"Visalia, California",Cowgirl,Week 1
Tiara Soleim,27,"Redmond, Washington",Chicken Enthusiast,Week 1
