Name,Age,Hometown,Occupation,Outcome
Vienna Girardi,23,"Geneva, Florida",Marketing Representative,Winner
Tenley Molzahn,25,"Newberg, Oregon",College Admissions,Runner-Up
Gia Allemand,26,"Manorville, New York",Swimsuit Model,Week 7
Ali Fedotowsky,25,"Williamstown, Massachusetts",Advertising Account Manager,Week 6
Corrie Adamson,23,"Kissimmee, Florida",Wardrobe Consultant,Week 5
Ashleigh Hunt,25,"North Potomac, Maryland",Account Manager,Week 4
"Jessica ""Jessie"" Sulidis",25,"Oakville, Ontario",Cosmetic Sales Manager,Week 4
Kathryn Sherlock,25,"Lexington, Kentucky",Corporate Flight Attendant,Week 4
Ella Nolan,30,"La Follette, Tennessee",Hair Stylist,Week 4
Elizabeth Kitt (NE),29,"Imperial, Nebraska",Nanny,Week 3
Valishia Savage,32,"San Bernardino, California",Homemaker,Week 3
Michelle Kujawa,26,"Anaheim, California",Office Manager,Week 3
Ashley Elmore,29,"Pittsburgh, Pennsylvania",Teacher,Week 2
Christina McCasland,25,"Encinitas, California",Restaurant Manager,Week 2
Rozlyn Papa,28,"Richmond, Virginia",Model/Make-Up Artist,Week 2
"Alexa ""Lex"" McAllister",25,"Galloway, Ohio",Entrepreneur,Week 1
Caitlyn McCabe,24,"Winfield, Illinois",Spokesmodel,Week 1
Channy Choch,29,"Santa Rosa, California",Mortgage Loan Officer,Week 1
Elizabeth Kreft (D.C.),29,"Union, Kentucky","Captain, Air National Guard",Week 1
Emily Harkins,23,"West Chester, Ohio",Fit Model,Week 1
Kimberly Sullivan,24,"Norman, Oklahoma",NBA Dancer,Week 1
Kirsten Pittman,25,"Aurora, Colorado",Waitress,Week 1
Sheila Lidner,25,"Scottsdale, Arizona",Commercial Pilot,Week 1
Stephanie Mueller,24,"Morris, Illinois",Dance Teacher,Week 1
Tiana Kruzel,31,"Calgary, Alberta",Medical Technician,Week 1
