Name,Age,Hometown,Occupation,Outcome
Vanessa Grimaldi,29,"Montreal, Quebec",Special Education Teacher,Winner
Raven Gates,25,"Hoxie, Arkansas",Fashion Boutique Owner,Runner-Up
Rachel Lindsay,31,"Dallas, Texas",Attorney,Week 9
Corinne Olympios,24,"Miami, Florida",Business Owner,Week 8
Kristina Schulman,24,"Lexington, Kentucky",Dental Hygienist,Week 7
Danielle Maltby,31,"Colgate, Wisconsin",Neonatal Nurse,Week 7
Danielle Lombard,27,"Danville, California",Small Business Owner,Week 6
Whitney Fransway,25,"Chanhassen, Minnesota",Pilates Instructor,Week 6
Jasmine Goode,29,"Maplewood, New Jersey",Pro Basketball Dancer,Week 6
Alexis Waters,23,"Secaucus, New Jersey",Aspiring Dolphin Trainer,Week 5
Jaimi King,28,"New Orleans, Louisiana",Chef,Week 5
Josephine Tutman,24,"Santa Cruz, California",Registered Nurse,Week 5
Taylor Nolan,23,"Seattle, Washington",Mental Health Counselor,Week 5
Astrid Loch,26,"Tampa, Florida",Plastic Surgery Office Manager,Week 4
Sarah Vendal,26,"Palmdale, California",Grade School Teacher,Week 4
Brittany Farrar,26,"Santa Monica, California",Travel Nurse,Week 3
Christen Whitney,25,"Martinsville, Indiana",Wedding Videographer,Week 3
Dominique Alexis,25,"Los Angeles, California",Restaurant Server,Week 3
Elizabeth Whitelaw,24,"New Trier, Illinois",Marketing Manager,Week 2
Hailey Merkt,23,"Vancouver, British Columbia",Photographer,Week 2
Lacey Mark,25,"Montville, New Jersey",Digital Marketing Manager,Week 2
Elizabeth Sandoz,29,"Scottsbluff, Nebraska",Doula,Week 2
Angela Amezcua,26,"Cumberland, Maryland",Model,Week 1
Briana Guertler,28,"Salt Lake City, Utah",Surgical Unit Nurse,Week 1
Ida Marie DeLosSantos,23,"Harlingen, Texas",Sales Manager,Week 1
Jasmine Brown,25,"Tacoma, Washington",Flight Attendant,Week 1
Lauren Hussey,30,"Naples, Florida",Law School Graduate,Week 1
Michelle Ramkissoon,24,"Silver Spring, Maryland",Food Truck Owner,Week 1
Olivia Burnette,25,"Anchorage, Alaska",Apparel Sales Representative,Week 1
Susannah Milan,26,"Jamul, California",Account Manager,Week 1
