Name,Age,Hometown,Occupation,Outcome
Cassie Randolph,23,"Huntington Beach, California",Speech Pathologist,Winner
Hannah Godwin,23,"Birmingham, Alabama",Content Creator,Week 9
Tayshia Adams,28,"Santa Ana, California",Phlebotomist,Week 9
Caelynn Miller-Keyes,23,"Fredericksburg, Virginia",Miss North Carolina USA 2018,Week 8
Kirpa Sudick,26,"Whittier, California",Dental Hygienist,Week 7
Heather Martin,23,"Carlsbad, California",Assistant Program Manager,Week 7
Hannah Brown,24,"Northport, Alabama",Miss Alabama USA 2018,Week 7
Katie Morton,26,"Oviedo, Florida",Medical Sales Representative,Week 6
Demi Burnett,23,"Red Oak, Texas",Interior Designer,Week 6
Sydney Lotuaco,27,"Virginia Beach, Virginia",NBA Dancer,Week 6
Nicole Lopez-Alvar,25,"Miami, Florida",Social Media Coordinator,Week 5
Onyeka Ehie,24,"Manhattan, Kansas",IT Risk Consultant,Week 5
Elyse Dehlbom,31,"Soldotna, Alaska",Makeup Artist,Week 5
Courtney Curtis,23,"McDonough, Georgia",Caterer,Week 4
Tracy Shapoff,31,"Rochester, New York",Wardrobe Stylist,Week 4
"Brianna ""Bri"" Barnes",24,"Chino Hills, California",Model,Week 3
Catherine Agro,26,"Fort Lauderdale, Florida",DJ,Week 3
Nina Bartula,30,"Raleigh, North Carolina",Sales Account Manager,Week 3
Caitlin Clemmens,25,"Toronto, Ontario",Realtor,Week 3
Alex Blumberg,29,"Vancouver, British Columbia",Dog Rescuer,Week 2
Angelique Sherman,28,"Hamilton, New Jersey",Marketing Salesperson,Week 2
Annie Reardon,23,"Mequon, Wisconsin",Financial Associate,Week 2
Erika McNutt,25,"Encinitas, California",Recruiter,Week 2
Alex Dillon,23,"Dennis, Massachusetts",Sloth,Week 1
Devin Gooden,23,"Medford, Oregon",Broadcast Journalist,Week 1
Erin Landry,28,"Plano, Texas",Cinderella,WeekWeek 1
"Adrianne ""Jane"" Averbukh",26,"West Hollywood, California",Social Worker,Week 1
Laura Pellerito,26,"Dallas, Texas",Accountant,Week 1
Revian Chang,24,"Plano, Texas",Nurse,Week 1
Tahzjuan Hawkins,25,"Castle Pines, Colorado",Business Development Associate,Week 1
