Name,Age,Hometown,Occupation,Outcome
Catherine Giudici,26,"Seattle, Washington",Graphic Designer,Winner
Lindsay Yenter,24,"Fort Leonard Wood, Missouri",Substitute Teacher,Runner-up
AshLee Frazier,32,"Houston, Texas",Personal Organizer,Week 9
Desiree Hartsock,26,"Northglenn, Colorado",Bridal Stylist,Week 8
Lesley Murphy,25,"Fort Smith, Arkansas",Political Consultant,Week 7
Tierra LiCausi,24,"Las Vegas, Nevada",Leasing Consultant,Week 7
Daniella McBride,24,"Belmont, California",Commercial Casting Associate,Week 6
Selma Alameri,29,"Borrego Springs, California",Real Estate Dealer,Week 6
Sarah Herron,26,"Evergreen, Colorado",Advertising Executive,Week 6
Robyn Howard,24,"Topeka, Kansas",Oil Field Account Manager,Week 5
"Jacqueline ""Jackie"" Parr",25,"Ormond Beach, Florida",Cosmetics Consultant,Week 5
Amanda Meyer,26,"Bakersfield, California",Fit Model,Week 4
Leslie Hughes,28,"Ruskin, Florida",Poker Dealer,Week 4
"Kristina ""Kristy"" Kaminski",25,"Darien, Wisconsin",Model,Week 3
Taryn Renee Daniels,30,"Troutdale, Oregon",Health Club Manager,Week 3
Kacie Boguskie,25,"Clarksville, Tennessee",Administrative Assistant,Week 3
Brooke Burchette,25,"Pittsburgh, Pennsylvania",Community Organizer,Week 2
Diana Weeks Willardson,31,"Sandy, Utah",Salon Owner,Week 2
"Katherine ""Katie"" Levans",27,"Woodstock, Illinois",Yoga Instructor,Week 2
Ashley Harper,25,"Garner, North Carolina",Fashion Model,Week 1
Ashley Palenkas,28,"Macomb, Michigan",Hair Stylist,Week 1
Kelly Dutton,28,"Chattanooga, Tennessee",Cruise Ship Entertainer,Week 1
Keriann Miranda,29,"Agoura Hills, California",Entrepreneur,Week 1
Lacey Latka,24,"Stevenson Ranch, California",Graduate Student,Week 1
Lauren Marchetti,27,"Cranston, Rhode Island",Journalist,Week 1
Paige Vigil,25,"Minnetonka, Minnesota",Jumbotron Operator,Week 1
