Name,Age,Hometown,Occupation,Outcome
Susie Evans,28,"Poquoson, Virginia",Wedding Videographer,Winner
"Gabriela ""Gabby"" Windey",30,"O'Fallon, Illinois",ICU Nurse,Runner-Up
Rachel Recchia,25,"Clermont, Florida",Flight Instructor,Week 9
Serene Russell,26,"Oklahoma City, Oklahoma",Elementary School Teacher,Week 8
Teddi Wright,24,"Redlands, California",Surgical Unit Nurse,Week 7
Sarah Hamrick,23,"Spartanburg, South Carolina",Wealth Management Advisor,Week 7
Genevieve Parisi,26,"Rehoboth, Massachusetts",Bartender,Week 7
Eliza Isichei,25,"Tampa, Florida",Marketing Manager,Week 6
Mara Agrait,32,"Collingswood, New Jersey",Entrepreneur,Week 6
Hunter Haag,28,"Lake Wylie, South Carolina",Human Resources Specialist,Week 5
Marlena Wesh,30,"Virginia Beach, Virginia",Former Olympian,Week 5
Shanae Ankney,29,"Sycamore, Ohio",Recruiter,Week 5
Jillian Chin,26,"Scituate, Rhode Island",Architectural Historian,Week 4
Lyndsey Windham,28,"Orange, Texas",Industrial Sales Representative,Week 4
Sierra Jackson,26,"Oklahoma City, Oklahoma",Yoga Instructor,Week 4
Elizabeth Corrigan,32,"Highlands Ranch, Colorado",Real Estate Advisor,Week 3
Kira Mengistu,32,"Greensboro, North Carolina",Physician,Week 3
Melina Nasab,27,"West Hollywood, California",Personal Trainer,Week 3
Ency Abedin,28,"Burbank, California",Sales Manager,Week 2
Kate Gallivan,32,"Clarksville, Tennessee",Real Estate Agent,Week 2
Tessa Tookes,26,"Stamford, Connecticut",Human Resources Specialist,Week 2
Cassidy Timbrooks,26,"Cave Creek, Arizona",Executive Recruiter,Week 2
Daria Rose,24,"Baldwin, New York",Law Student,Week 1
Hailey Malles,26,"Orlando, Florida",Pediatric Nurse,Week 1
Ivana Noble,31,"Snellville, Georgia",Bar Mitzvah Dancer,Week 1
Jane Paik,33,"Santa Monica, California",Social Media Director,Week 1
Lindsay Dobbs,27,"Warner Robins, Georgia",Neonatal Nurse,Week 1
Rianna Hockaday,26,"Mount Pleasant, Texas",Registered Nurse,Week 1
Samantha Jeffries,26,"Dayton, Ohio",Occupational Therapist,Week 1
Claire Heilig,28,"Virginia Beach, Virginia",Spray Tanner,Week 1
