Name,Age,Hometown,Occupation,Outcome
Melissa Rycroft[9],25,"Dallas, Texas",Sales Representative,Winner
Molly Malaney[10],24,"Brookfield, Wisconsin",Department Store Buyer,Runner-Up
Jillian Harris,29,"Peace River, Alberta",Interior Designer,Week 7
Naomi Crespo[11],24,"Carlsbad, California",Flight Attendant,Week 6
Stephanie Hogan[12],34,"Huntsville, Alabama",Medical Marketing Representative,Week 5
Lauren Wanger,27,"Marlboro, New Jersey",Teacher,Week 4
Megan Parris[13],25,"Sewickley, Pennsylvania",Lacrosse Coach,Week 4
Shannon Bair[14],29,"Marshall, Missouri",Dental Hygienist,Week 4
Nikki Kaapke[15],29,"Blue Island, Illinois",Administrative Assistant,Week 4
Erica DeSimone,25,"Monroe, Connecticut",Account Executive,Week 3
Kari Fajen[16],27,"Lee's Summit, Missouri",Account Executive,Week 3
Natalie Getz[17],27,"Morton, Illinois",Human Resources Recruiter,Week 3
Raquel Medeiros[18],27,"Recife, Pernambuco[a]",Medical Student,Week 2
Sharon Staebell[19],32,"Batavia, New York",Teacher,Week 2
Lisa Gonzalez[20],28,"Boise, Idaho",Public Relations Associate,Week 2
Ann Lueders,24,"Phoenix, Arizona",Flight Attendant,Week 1
Dominique Carta,26,"Mount Carmel, Pennsylvania",Medical Sales Representative,Week 1
Emily,23,"Seattle, Washington",Casino Marketing Representative,Week 1
Jackie Hickley,26,"Springfield, Massachusetts",Wedding Coordinator,Week 1
Julie Dermotta,26,"Columbus, Ohio",Teacher,Week 1
Nicole Mah,25,"Calgary, Alberta",Menswear Buyer,Week 1
Renee Simlak,36,"Southfield, Michigan",Jewelry Designer,Week 1
Shelby Callas,23,"Stockton, California",Account Executive,Week 1
Stacia Mann,24,"Orem, Utah",Charity Accountant,Week 1
Treasure Morgan,28,"Salt Lake City, Utah",Nurse Practitioner,Week 1
